0,10,0.4,2
17,5,0.8,1
25.5,4,0.4,1
35.7,2,0.1,1
44.2,1,0.05,1
54.4,11,0.8,2
59.5,1,0.05,1
71.4,3,0.2,1
79.05,3,0.2,1
87.5499,2,0.1,1
107.0999,2,0.1,1
112.1999,8,0.1,2
124.9499,4,0.4,1
133.4499,1,0.05,1
140.2499,7,0.05,2
151.3,4,0.4,1
156.4,7,0.05,2
170.0001,4,0.4,1
181.9001,7,0.05,2
189.5501,5,0.8,1
203.1502,3,0.2,1
212.5002,9,0.2,2
217.6003,9,0.2,2
223.5503,3,0.2,1
231.2003,12,1.2,2
243.1003,9,0.2,2
253.3004,6,1.2,1
258.4004,6,1.2,1
272.8505,11,0.8,2
278.8005,9,0.2,2
285.6005,12,1.2,2
291.5505,6,1.2,1
300.0505,11,0.8,2
311.1006,8,0.1,2
317.0506,5,0.8,1
328.1006,1,0.05,1
333.2007,12,1.2,2
338.3007,10,0.4,2
345.1007,4,0.4,1
352.7507,10,0.4,2
359.5507,7,0.05,2
366.3507,10,0.4,2
374.8508,11,0.8,2
385.0508,2,0.1,1
399.5009,12,1.2,2
408.8509,8,0.1,2
426.701,5,0.8,1
435.201,11,0.8,2
447.1011,6,1.2,1
455.6011,12,1.2,2
468.3512,5,0.8,1
481.1013,2,0.1,1
489.6013,6,1.2,1
504.9014,8,0.1,2
513.4014,10,0.4,2
518.5013,8,0.1,2
533.801,4,0.4,1
540.601,1,0.05,1
551.6508,2,0.1,1
558.4507,5,0.8,1
564.4006,1,0.05,1
577.1504,8,0.1,2
587.3502,7,0.05,2
597.55,9,0.2,2
615.3997,10,0.4,2
622.1996,3,0.2,1
634.0994,9,0.2,2
640.0493,6,1.2,1
645.9993,11,0.8,2
651.0992,12,1.2,2
656.1992,7,0.05,2
662.9991,3,0.2,1
