0,2,0.1,1
8.5,7,0.05,2
24.65,9,0.2,2
31.45,4,0.4,1
43.35,11,0.8,2
51,3,0.2,1
57.8,1,0.05,1
62.9,5,0.8,1
79.9,2,0.1,1
87.55,6,1.2,1
96.0499,9,0.2,2
109.6499,11,0.8,2
118.9999,11,0.8,2
130.0499,3,0.2,1
135.9999,3,0.2,1
144.5,2,0.1,1
149.6,2,0.1,1
155.55,12,1.2,2
163.2,6,1.2,1
173.4001,7,0.05,2
181.0501,5,0.8,1
192.9501,2,0.1,1
198.0501,6,1.2,1
217.6003,3,0.2,1
226.1003,10,0.4,2
241.4004,10,0.4,2
253.3004,1,0.05,1
259.2504,12,1.2,2
269.4505,5,0.8,1
278.8005,12,1.2,2
294.1006,4,0.4,1
300.9006,12,1.2,2
308.5506,4,0.4,1
319.6007,11,0.8,2
337.4508,10,0.4,2
342.5508,8,0.1,2
347.6508,12,1.2,2
359.5508,6,1.2,1
368.9009,5,0.8,1
379.1009,12,1.2,2
384.2009,8,0.1,2
396.951,11,0.8,2
404.601,10,0.4,2
411.401,2,0.1,1
417.351,1,0.05,1
422.451,4,0.4,1
429.2511,7,0.05,2
434.3511,9,0.2,2
442.8511,9,0.2,2
447.9511,1,0.05,1
459.0012,1,0.05,1
476.0013,8,0.1,2
484.5013,3,0.2,1
490.4513,5,0.8,1
498.1013,6,1.2,1
505.7513,4,0.4,1
521.0511,9,0.2,2
528.701,8,0.1,2
533.801,8,0.1,2
544.0008,8,0.1,2
553.3506,6,1.2,1
572.9002,10,0.4,2
587.3499,1,0.05,1
600.0997,7,0.05,2
605.1996,11,0.8,2
622.1993,7,0.05,2
627.2993,4,0.4,1
632.3992,10,0.4,2
637.4992,3,0.2,1
651.9489,5,0.8,1
657.0489,7,0.05,2
663.8488,9,0.2,2
