0,1,0.05,1
8.5,1,0.05,1
14.45,2,0.1,1
28.05,2,0.1,1
39.1,1,0.05,1
44.2,3,0.2,1
54.4,4,0.4,1
59.5,1,0.05,1
72.25,2,0.1,1
78.2,7,0.05,2
85,10,0.4,2
90.1,5,0.8,1
101.1499,8,0.1,2
112.1999,11,0.8,2
124.9499,4,0.4,1
135.1499,5,0.8,1
146.2,5,0.8,1
153,12,1.2,2
163.2001,9,0.2,2
182.7502,5,0.8,1
188.7002,6,1.2,1
207.4003,12,1.2,2
214.2003,5,0.8,1
223.5503,10,0.4,2
229.5004,6,1.2,1
249.9005,9,0.2,2
257.5505,9,0.2,2
274.5506,7,0.05,2
281.3506,2,0.1,1
286.4506,12,1.2,2
295.8006,8,0.1,2
302.6006,3,0.2,1
316.2007,11,0.8,2
323.0007,10,0.4,2
338.3008,8,0.1,2
344.2508,7,0.05,2
352.7509,4,0.4,1
364.6509,6,1.2,1
374.851,5,0.8,1
379.951,10,0.4,2
387.601,11,0.8,2
398.651,11,0.8,2
406.3011,8,0.1,2
412.2511,11,0.8,2
420.7511,12,1.2,2
425.8511,12,1.2,2
434.3511,12,1.2,2
444.5512,4,0.4,1
451.3512,9,0.2,2
459.0012,3,0.2,1
464.1012,9,0.2,2
470.0512,2,0.1,1
476.0013,3,0.2,1
487.9013,2,0.1,1
499.8014,8,0.1,2
509.1514,1,0.05,1
527.001,11,0.8,2
532.101,3,0.2,1
537.201,7,0.05,2
544.8509,3,0.2,1
560.1506,9,0.2,2
565.2505,6,1.2,1
571.2005,6,1.2,1
583.1003,10,0.4,2
597.55,8,0.1,2
602.65,7,0.05,2
617.0997,4,0.4,1
623.0496,1,0.05,1
629.8495,4,0.4,1
640.8994,6,1.2,1
645.9993,10,0.4,2
662.999,7,0.05,2
